T. Geddes Grant (Distributors) Limited,,,,,,,,,,,,
Container Receival Report ,,,,,,,,,,,,
"for week ending June 16, 2017  ",,,,,,,,,,,,
,,,,,,,,,,,,
PO #,PO Date,Supplier,Product Description,Qty,Size Container,Container #,Shipping Line,ETA Jamaica,ETA TGG,Actual Arrival Date - TGG,Date Offloaded,Date left compound
23017,"April 25, 2017",Kimberly Clark,Assorted Paper Products,1716 cases,40,SMLU 794923-3,Seaboard,"May 28, 2017","June 4, 2017",,,
23019,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 793620-0,Seaboard,"May 28, 2017","June 4, 2017",,,
23020,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 792190-9,Seaboard,"May 28, 2017","June 4, 2017",,,
23021,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 787354-4,Seaboard,"May 28, 2017","June 4, 2017",,,
23022,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 793473-7,Seaboard,"May 28, 2017","June 4, 2017",,,
22997,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,TCNU 823910-5,Zim,"June 3, 2017","June 10, 2017",,,
23051,"April 26, 2017",,Assorted SMJ Products,2632 cases,40,ZCSU 843781-0,,,,,,
,,,Busta Green Crush 370ml,2520 cases,40,ZCSU 894770-5,,,,,,
,,,Busta Banana 370ml,1680 cases,40,ZCSU 847191-7,,,,,,
,,,Busta Orange 590ml,1680 cases,40,ZCSU 709553-8,,,,,,
22998,"April 21, 2017",,Busta Banana 370ml,2520 cases,40,TCNU 457710-4,,,,,,
,,,Busta Banana 370ml,2520 cases,40,TCNU 541722-4,,,,,,
23126,"May 11, 2017",S. M. Jaleel & Company Limited,American Classic Lime In 370ml,2520 cases,40,FSCU 817265-9,Zim,"June 3, 2017","June 10, 2017",,,
,,,American Classic Lime In 370ml,2520 cases,40,BSIU 954466-1,,,,,,
,,,Busta Cranberry 591ml,1680 cases,40,ZCSU 886079-7,,,,,,
,,,American Classic Cola 370ml,2520 cases,40,BSIU 970935-5,,,,,,
23054,"April 26, 2017",,Busta Fruit Punch 370ml,2520 cases,40,CAIU 922057-0,,,,,,
23051,"April 26, 2017",,Busta Fruit Punch 370ml,2520 cases,40,ZCSU 899569-0,,,,,,
22967,"April 13, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,ZCSU 864470-9,Zim,"June 3, 2017","June 10, 2017",,,
,,,Busta Kola Champagne 370ml,2520 cases,40,ZCSU 266612-5,,,,,,
23051,"April 26, 2017",,Busta Cranberry 370ml,2520 cases,40,UETU 527527-6,,,,,,
,,,Busta Pineapple 370ml,2520 cases,40,FSCU 817002-3,,,,,,
,,,Busta Cranberry 370ml,2520 cases,40,TCNU 877205-3,,,,,,
,,,Busta Cranberry 370ml,2520 cases,40,TCNU 872091-2,,,,,,
