,PONUM,PODate,SUPPLIER,ProductDescription,Qty,SizeContainer,ContainerNUM,ShippingLine,ETAJamaica,ETATGG,AADTGG,DateOffloaded,Dateleft
0,23017,"April 25, 2017",Kimberly Clark,Assorted Paper Products,1716 cases,40,SMLU 794923-3,Seaboard,"May 28, 2017","June 4, 2017",?,?,?
1,23019,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 793620-0,Seaboard,"May 28, 2017","June 4, 2017",?,?,?
2,23020,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 792190-9,Seaboard,"May 28, 2017","June 4, 2017",?,?,?
3,23021,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 787354-4,Seaboard,"May 28, 2017","June 4, 2017",?,?,?
4,23022,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 793473-7,Seaboard,"May 28, 2017","June 4, 2017",?,?,?
5,22997,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,TCNU 823910-5,Zim,"June 3, 2017","June 10, 2017",?,?,?
6,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted SMJ Products,2632 cases,40,ZCSU 843781-0,Zim,"June 3, 2017","June 10, 2017",?,?,?
7,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Green Crush 370ml,2520 cases,40,ZCSU 894770-5,Zim,"June 3, 2017","June 10, 2017",?,?,?
8,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,1680 cases,40,ZCSU 847191-7,Zim,"June 3, 2017","June 10, 2017",?,?,?
9,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Orange 590ml,1680 cases,40,ZCSU 709553-8,Zim,"June 3, 2017","June 10, 2017",?,?,?
10,22998,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,TCNU 457710-4,Zim,"June 3, 2017","June 10, 2017",?,?,?
11,22998,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,TCNU 541722-4,Zim,"June 3, 2017","June 10, 2017",?,?,?
12,23126,"May 11, 2017",S. M. Jaleel & Company Limited,American Classic Lime In 370ml,2520 cases,40,FSCU 817265-9,Zim,"June 3, 2017","June 10, 2017",?,?,?
13,23126,"May 11, 2017",S. M. Jaleel & Company Limited,American Classic Lime In 370ml,2520 cases,40,BSIU 954466-1,Zim,"June 3, 2017","June 10, 2017",?,?,?
